10,28,174
20,28,174
30,29,174
40,29,173
50,29,171
60,30,169
70,31,169
80,32,168
90,32,166
100,32,163
110,33,162
120,34,160
130,34,158
140,34,159
150,34,159
160,34,157
170,35,157
180,35,157
190,35,158
200,35,157
210,35,157
220,36,156
230,36,155
240,36,155
250,37,155
260,37,155
270,37,155
280,37,155
290,37,154
300,37,154
310,37,154
320,37,154
330,37,154
340,37,153
350,37,153
360,37,153
370,37,153
380,38,153
390,38,153
400,38,153
410,38,152
420,38,150
430,39,149
440,39,149
450,39,148
460,41,146
470,41,146
480,41,146
490,41,146
500,41,145
510,41,145
520,41,144
530,41,144
540,41,144
550,41,144
560,41,143
570,41,142
580,41,142
590,41,142
600,41,142
610,41,142
620,41,142
630,41,141
640,41,140
650,41,140
660,41,140
670,41,140
680,41,138
690,41,136
700,41,136
710,41,136
720,41,136
730,41,136
740,41,136
750,41,136
760,41,137
770,41,136
780,41,135
790,41,135
800,41,135
810,41,134
820,41,134
830,41,134
840,41,134
850,41,133
860,41,134
870,41,134
880,41,133
890,41,133
900,41,132
910,41,132
920,41,132
930,41,132
940,41,132
950,41,131
960,41,131
970,41,131
980,41,131
990,41,132
1000,41,131
1010,41,131
1020,41,131
1030,41,131
1040,41,131
1050,41,131
1060,41,131
1070,41,132
1080,41,131
1090,41,131
1100,41,131
1110,41,131
1120,41,131
1130,41,129
1140,41,129
1150,41,130
1160,41,130
1170,41,129
1180,41,129
1190,41,129
1200,41,129
1210,41,129
1220,41,129
1230,41,129
1240,41,129
1250,41,129
1260,41,129
1270,41,129
1280,36,130
1290,36,129
1300,36,129
1310,35,129
1320,35,127
1330,35,126
1340,35,126
1350,35,129
1360,35,129
1370,35,129
1380,35,129
1390,34,129
1400,34,129
1410,34,128
1420,34,128
1430,34,128
1440,34,128
1450,33,126
1460,33,126
1470,33,125
1480,33,125
1490,32,125
1500,31,125
1510,31,125
1520,30,125
1530,30,125
1540,30,125
1550,30,124
1560,30,123
1570,29,123
1580,29,123
1590,29,122
1600,29,122
1610,29,121
1620,29,121
1630,29,120
1640,29,120
1650,29,120
1660,29,120
1670,29,120
1680,29,120
1690,29,119
1700,29,119
1710,29,118
1720,29,118
1730,29,119
1740,29,119
1750,29,122
