,57,246
4710,0,86
4720,0,86
4730,0,86
4740,0,86
4750,0,86
4760,0,86
4770,0,86
4780,0,86
4790,0,86
4800,0,86
4810,0,86
4820,0,86
4830,0,86
4840,0,86
4850,0,86
4860,0,86
4870,0,86
4880,0,86
4890,0,86
4900,0,86
4910,0,86
4920,0,86
4930,0,86
4940,0,86
4950,0,86
4960,0,86
4970,0,86
4980,0,86
4990,0,86
5000,0,86
5010,0,86
5020,0,86
5030,0,86
5040,0,86
5050,0,86
5060,,
